Domain,I+,I-,I0,IPH+,IPH-,IPH0,V+,V-,V0,VPH+,VPH-,VPH0,VA,VB,VC,IA,IB,IC,Type
0.51825,0.804375036,0.804375036,0.804375036,-2.544734341,-2.544734341,-2.544734341,74.44470478,74.44470478,74.44470478,-1.59720769,-1.59720769,-1.59720769,1,1,1,0,0,0,0
0.5185,0.804375036,0.804375036,0.804375036,-2.544734341,-2.544734341,-2.544734341,74.44470478,74.44470478,74.44470478,-1.59720769,-1.59720769,-1.59720769,1,1,1,0,0,0,0
0.51875,0.804373354,0.804373354,0.804373354,-2.544732152,-2.544732152,-2.544732152,74.44471118,74.44471118,74.44471118,-1.597207231,-1.597207231,-1.597207231,1,1,1,0,0,0,0
0.519,0.804373354,0.804373354,0.804373354,-2.544732152,-2.544732152,-2.544732152,74.44471118,74.44471118,74.44471118,-1.597207231,-1.597207231,-1.597207231,1,1,1,0,0,0,0
0.51925,0.804373354,0.804373354,0.804373354,-2.544732152,-2.544732152,-2.544732152,74.44471118,74.44471118,74.44471118,-1.597207231,-1.597207231,-1.597207231,1,1,1,0,0,0,0
0.5195,0.804373354,0.804373354,0.804373354,-2.544732152,-2.544732152,-2.544732152,74.44471118,74.44471118,74.44471118,-1.597207231,-1.597207231,-1.597207231,1,1,1,0,0,0,0
0.51975,0.804373354,0.804373354,0.804373354,-2.544732152,-2.544732152,-2.544732152,74.44471118,74.44471118,74.44471118,-1.597207231,-1.597207231,-1.597207231,1,1,1,0,0,0,0
0.52,0.804371958,0.804371958,0.804371958,-2.544727674,-2.544727674,-2.544727674,74.44471639,74.44471639,74.44471639,-1.597207124,-1.597207124,-1.597207124,1,1,1,0,0,0,0
0.52025,0.804371958,0.804371958,0.804371958,-2.544727674,-2.544727674,-2.544727674,74.44471639,74.44471639,74.44471639,-1.597207124,-1.597207124,-1.597207124,1,1,1,0,0,0,0
0.5205,0.804371958,0.804371958,0.804371958,-2.544727674,-2.544727674,-2.544727674,74.44471639,74.44471639,74.44471639,-1.597207124,-1.597207124,-1.597207124,1,1,1,0,0,0,0
0.52075,0.804371958,0.804371958,0.804371958,-2.544727674,-2.544727674,-2.544727674,74.44471639,74.44471639,74.44471639,-1.597207124,-1.597207124,-1.597207124,1,1,1,0,0,0,0
0.521,0.804372049,0.804372049,0.804372049,-2.544722774,-2.544722774,-2.544722774,74.44479062,74.44479062,74.44479062,-1.597206441,-1.597206441,-1.597206441,1,1,1,0,0,0,0
0.52125,0.804372049,0.804372049,0.804372049,-2.544722774,-2.544722774,-2.544722774,74.44479062,74.44479062,74.44479062,-1.597206441,-1.597206441,-1.597206441,1,1,1,0,0,0,0
0.5215,0.804372049,0.804372049,0.804372049,-2.544722774,-2.544722774,-2.544722774,74.44479062,74.44479062,74.44479062,-1.597206441,-1.597206441,-1.597206441,1,1,1,0,0,0,0
0.52175,0.804372049,0.804372049,0.804372049,-2.544722774,-2.544722774,-2.544722774,74.44479062,74.44479062,74.44479062,-1.597206441,-1.597206441,-1.597206441,1,1,1,0,0,0,0
0.522,0.804373975,0.804373975,0.804373975,-2.544717349,-2.544717349,-2.544717349,74.44498164,74.44498164,74.44498164,-1.5972059,-1.5972059,-1.5972059,1,1,1,0,0,0,0
0.52225,0.804373975,0.804373975,0.804373975,-2.544717349,-2.544717349,-2.544717349,74.44498164,74.44498164,74.44498164,-1.5972059,-1.5972059,-1.5972059,1,1,1,0,0,0,0
0.5225,0.804373975,0.804373975,0.804373975,-2.544717349,-2.544717349,-2.544717349,74.44498164,74.44498164,74.44498164,-1.5972059,-1.5972059,-1.5972059,1,1,1,0,0,0,0
0.52275,0.804373975,0.804373975,0.804373975,-2.544717349,-2.544717349,-2.544717349,74.44498164,74.44498164,74.44498164,-1.5972059,-1.5972059,-1.5972059,1,1,1,0,0,0,0
0.523,0.804376861,0.804376861,0.804376861,-2.544713921,-2.544713921,-2.544713921,74.44499478,74.44499478,74.44499478,-1.597205933,-1.597205933,-1.597205933,1,1,1,0,0,0,0
0.52325,0.804376861,0.804376861,0.804376861,-2.544713921,-2.544713921,-2.544713921,74.44499478,74.44499478,74.44499478,-1.597205933,-1.597205933,-1.597205933,1,1,1,0,0,0,0
0.5235,0.804376861,0.804376861,0.804376861,-2.544713921,-2.544713921,-2.544713921,74.44499478,74.44499478,74.44499478,-1.597205933,-1.597205933,-1.597205933,1,1,1,0,0,0,0
0.52375,0.804376861,0.804376861,0.804376861,-2.544713921,-2.544713921,-2.544713921,74.44499478,74.44499478,74.44499478,-1.597205933,-1.597205933,-1.597205933,1,1,1,0,0,0,0
0.524,0.804381435,0.804381435,0.804381435,-2.544711717,-2.544711717,-2.544711717,74.44506703,74.44506703,74.44506703,-1.597206566,-1.597206566,-1.597206566,1,1,1,0,0,0,0
0.52425,0.804381435,0.804381435,0.804381435,-2.544711717,-2.544711717,-2.544711717,74.44506703,74.44506703,74.44506703,-1.597206566,-1.597206566,-1.597206566,1,1,1,0,0,0,0
0.5245,0.804381435,0.804381435,0.804381435,-2.544711717,-2.544711717,-2.544711717,74.44506703,74.44506703,74.44506703,-1.597206566,-1.597206566,-1.597206566,1,1,1,0,0,0,0
0.52475,0.804381435,0.804381435,0.804381435,-2.544711717,-2.544711717,-2.544711717,74.44506703,74.44506703,74.44506703,-1.597206566,-1.597206566,-1.597206566,1,1,1,0,0,0,0
0.525,0.80438736,0.80438736,0.80438736,-2.544711886,-2.544711886,-2.544711886,74.44512787,74.44512787,74.44512787,-1.59720776,-1.59720776,-1.59720776,1,1,1,0,0,0,0
0.52525,0.80438736,0.80438736,0.80438736,-2.544711886,-2.544711886,-2.544711886,74.44512787,74.44512787,74.44512787,-1.59720776,-1.59720776,-1.59720776,1,1,1,0,0,0,0
0.5255,0.80438736,0.80438736,0.80438736,-2.544711886,-2.544711886,-2.544711886,74.44512787,74.44512787,74.44512787,-1.59720776,-1.59720776,-1.59720776,1,1,1,0,0,0,0
0.52575,0.80438736,0.80438736,0.80438736,-2.544711886,-2.544711886,-2.544711886,74.44512787,74.44512787,74.44512787,-1.59720776,-1.59720776,-1.59720776,1,1,1,0,0,0,0
0.526,0.80438736,0.80438736,0.80438736,-2.544711886,-2.544711886,-2.544711886,74.44512787,74.44512787,74.44512787,-1.59720776,-1.59720776,-1.59720776,1,1,1,0,0,0,0
0.52625,0.804390912,0.804390912,0.804390912,-2.544713835,-2.544713835,-2.544713835,74.44512764,74.44512764,74.44512764,-1.597207745,-1.597207745,-1.597207745,1,1,1,0,0,0,0
0.5265,0.804390912,0.804390912,0.804390912,-2.544713835,-2.544713835,-2.544713835,74.44512764,74.44512764,74.44512764,-1.597207745,-1.597207745,-1.597207745,1,1,1,0,0,0,0
0.52675,0.804390912,0.804390912,0.804390912,-2.544713835,-2.544713835,-2.544713835,74.44512764,74.44512764,74.44512764,-1.597207745,-1.597207745,-1.597207745,1,1,1,0,0,0,0
0.527,0.804390912,0.804390912,0.804390912,-2.544713835,-2.544713835,-2.544713835,74.44512764,74.44512764,74.44512764,-1.597207745,-1.597207745,-1.597207745,1,1,1,0,0,0,0
0.52725,0.804394022,0.804394022,0.804394022,-2.544717882,-2.544717882,-2.544717882,74.4451316,74.4451316,74.4451316,-1.597207461,-1.597207461,-1.597207461,1,1,1,0,0,0,0
0.5275,0.804394022,0.804394022,0.804394022,-2.544717882,-2.544717882,-2.544717882,74.4451316,74.4451316,74.4451316,-1.597207461,-1.597207461,-1.597207461,1,1,1,0,0,0,0
0.52775,0.804394022,0.804394022,0.804394022,-2.544717882,-2.544717882,-2.544717882,74.4451316,74.4451316,74.4451316,-1.597207461,-1.597207461,-1.597207461,1,1,1,0,0,0,0
0.528,0.804394022,0.804394022,0.804394022,-2.544717882,-2.544717882,-2.544717882,74.4451316,74.4451316,74.4451316,-1.597207461,-1.597207461,-1.597207461,1,1,1,0,0,0,0
0.52825,0.804395633,0.804395633,0.804395633,-2.544723051,-2.544723051,-2.544723051,74.44519002,74.44519002,74.44519002,-1.597206258,-1.597206258,-1.597206258,1,1,1,0,0,0,0
0.5285,0.804395633,0.804395633,0.804395633,-2.544723051,-2.544723051,-2.544723051,74.44519002,74.44519002,74.44519002,-1.597206258,-1.597206258,-1.597206258,1,1,1,0,0,0,0
0.52875,0.804395633,0.804395633,0.804395633,-2.544723051,-2.544723051,-2.544723051,74.44519002,74.44519002,74.44519002,-1.597206258,-1.597206258,-1.597206258,1,1,1,0,0,0,0
0.529,0.804395633,0.804395633,0.804395633,-2.544723051,-2.544723051,-2.544723051,74.44519002,74.44519002,74.44519002,-1.597206258,-1.597206258,-1.597206258,1,1,1,0,0,0,0
0.52925,0.804395549,0.804395549,0.804395549,-2.544727624,-2.544727624,-2.544727624,74.44519577,74.44519577,74.44519577,-1.597206205,-1.597206205,-1.597206205,1,1,1,0,0,0,0
0.5295,0.804395549,0.804395549,0.804395549,-2.544727624,-2.544727624,-2.544727624,74.44519577,74.44519577,74.44519577,-1.597206205,-1.597206205,-1.597206205,1,1,1,0,0,0,0
0.52975,0.804395549,0.804395549,0.804395549,-2.544727624,-2.544727624,-2.544727624,74.44519577,74.44519577,74.44519577,-1.597206205,-1.597206205,-1.597206205,1,1,1,0,0,0,0
0.53,0.804395549,0.804395549,0.804395549,-2.544727624,-2.544727624,-2.544727624,74.44519577,74.44519577,74.44519577,-1.597206205,-1.597206205,-1.597206205,1,1,1,0,0,0,0
0.53025,0.804394242,0.804394242,0.804394242,-2.544731304,-2.544731304,-2.544731304,74.44528928,74.44528928,74.44528928,-1.59720594,-1.59720594,-1.59720594,1,1,1,0,0,0,0
0.5305,0.804394242,0.804394242,0.804394242,-2.544731304,-2.544731304,-2.544731304,74.44528928,74.44528928,74.44528928,-1.59720594,-1.59720594,-1.59720594,1,1,1,0,0,0,0
